customer_id,tenure_months,monthly_charges,total_charges,support_tickets_90d,usage_drop_pct,late_payments_12m,satisfaction_score,contract_type,payment_method,internet_service,tech_support,senior_citizen,dependents,autopay,churn
CUST-00074,10,30.08,20.0,3,29.9,0,9.8,Month-to-month,Electronic check,DSL,No,0,0,0,0
CUST-00075,50,71.97,2938.93,2,2.8,2,6.7,Month-to-month,Bank transfer,Fiber optic,No,0,0,0,0
CUST-00076,35,127.9,4570.89,3,25.4,2,8.1,Month-to-month,Credit card,Fiber optic,No,0,0,0,1
CUST-00077,24,72.01,1836.04,2,-3.3,1,7.5,One year,Mailed check,Fiber optic,No,0,0,0,0
CUST-00078,17,27.59,587.91,1,-4.1,0,10.0,Month-to-month,Electronic check,Fiber optic,Yes,0,0,1,0
CUST-00079,41,131.01,5240.18,2,29.2,0,9.7,Month-to-month,Mailed check,DSL,Yes,0,0,1,0
CUST-00080,49,97.11,5130.82,1,-2.0,0,6.9,One year,Bank transfer,Fiber optic,Yes,0,0,0,0
CUST-00081,68,76.04,5055.75,2,-17.1,0,9.8,Month-to-month,Credit card,Fiber optic,No,0,0,0,0
CUST-00082,32,67.6,2268.42,3,-8.6,1,7.1,Month-to-month,Bank transfer,Fiber optic,No,0,1,0,0
CUST-00083,12,108.31,1448.38,4,21.7,0,6.1,Month-to-month,Electronic check,DSL,Yes,1,0,1,1
CUST-00084,60,62.82,4198.89,1,20.2,5,6.6,Month-to-month,Electronic check,None,No,0,0,0,0
CUST-00085,46,110.15,4987.64,0,-4.2,0,7.4,One year,Electronic check,None,Yes,0,0,0,0
CUST-00086,51,93.18,4588.88,1,-2.1,0,5.7,One year,Credit card,Fiber optic,No,0,0,0,0
CUST-00087,8,84.85,304.26,3,18.8,0,6.2,Month-to-month,Bank transfer,DSL,Yes,0,0,0,0
CUST-00088,23,82.07,2275.7,0,29.1,0,4.5,One year,Bank transfer,DSL,No,0,0,1,0
CUST-00089,56,73.1,4198.95,2,6.9,0,5.6,Month-to-month,Credit card,Fiber optic,No,0,0,0,0
CUST-00090,60,107.28,6550.07,2,16.9,0,7.5,Month-to-month,Bank transfer,DSL,No,0,0,0,0
CUST-00091,32,53.77,2499.82,3,22.0,0,9.0,One year,Electronic check,Fiber optic,Yes,0,1,1,0
CUST-00092,58,32.59,1971.48,1,42.4,1,8.7,Month-to-month,Electronic check,Fiber optic,No,0,0,1,0
CUST-00093,61,95.2,5481.62,1,-10.5,0,7.9,One year,Bank transfer,None,No,0,0,0,0
CUST-00094,28,95.67,2629.78,2,-2.7,1,4.3,Month-to-month,Bank transfer,Fiber optic,Yes,0,1,1,0
CUST-00095,65,91.45,5700.55,1,-0.1,0,5.6,Month-to-month,Mailed check,DSL,Yes,0,1,1,0
CUST-00096,21,89.42,1778.85,2,21.2,0,6.7,Month-to-month,Mailed check,None,No,0,0,1,1
CUST-00097,18,69.02,1141.71,3,4.0,2,8.8,One year,Bank transfer,Fiber optic,No,0,0,1,0
CUST-00098,50,100.05,4855.74,2,13.0,4,6.1,Month-to-month,Electronic check,None,No,0,0,1,0
CUST-00099,46,76.72,3180.8,2,9.9,0,4.9,Two year,Credit card,Fiber optic,No,0,0,0,0
CUST-00100,11,64.36,1106.09,2,8.0,0,9.7,Month-to-month,Electronic check,DSL,No,0,0,1,0
CUST-00101,60,69.27,4230.91,2,9.7,0,5.8,Month-to-month,Bank transfer,Fiber optic,No,1,0,0,0
CUST-00102,15,134.58,1962.33,1,24.5,0,5.1,Two year,Mailed check,DSL,Yes,0,0,0,1
CUST-00103,58,29.42,1895.77,2,-7.5,1,7.5,Month-to-month,Mailed check,Fiber optic,Yes,0,1,0,0
CUST-00104,1,91.99,209.76,2,5.6,2,7.0,Month-to-month,Mailed check,DSL,No,0,0,0,1
CUST-00105,58,30.98,1865.76,1,-11.4,0,6.2,Month-to-month,Electronic check,DSL,No,1,0,0,0
CUST-00106,57,74.97,4444.54,0,11.6,0,7.1,Month-to-month,Bank transfer,Fiber optic,No,0,0,1,0
CUST-00107,57,65.86,3787.5,0,4.9,0,5.4,One year,Credit card,None,No,0,1,1,0
CUST-00108,48,20.0,1127.56,2,25.1,1,6.2,One year,Electronic check,None,No,1,0,1,0
CUST-00109,34,88.89,3210.54,1,7.9,1,7.0,Month-to-month,Credit card,DSL,Yes,0,0,0,0
CUST-00110,51,67.36,3476.04,1,0.9,1,3.4,One year,Bank transfer,DSL,No,0,1,1,0
CUST-00111,20,20.0,344.9,0,4.1,0,8.8,Month-to-month,Mailed check,Fiber optic,Yes,1,0,1,0
CUST-00112,57,101.51,6168.67,0,35.6,0,4.6,One year,Bank transfer,Fiber optic,Yes,1,0,0,0
CUST-00113,41,118.18,4725.9,3,-17.1,2,5.4,One year,Electronic check,Fiber optic,No,0,0,1,0
CUST-00114,34,119.72,4168.31,3,-2.0,1,8.9,Two year,Mailed check,Fiber optic,Yes,0,0,1,0
CUST-00115,37,88.05,3361.33,6,8.6,2,8.1,Two year,Credit card,Fiber optic,No,0,1,0,0
CUST-00116,41,79.29,3098.5,0,-2.2,0,7.3,Two year,Bank transfer,Fiber optic,No,0,0,0,0
CUST-00117,3,115.19,143.61,1,15.9,0,4.0,Two year,Mailed check,DSL,No,0,0,1,0
CUST-00118,11,125.11,1287.75,1,7.1,1,6.0,Two year,Credit card,Fiber optic,No,0,0,1,0
CUST-00119,18,109.74,1852.27,1,12.1,1,6.7,One year,Credit card,Fiber optic,No,1,1,0,0
CUST-00120,9,51.64,100.23,2,9.9,0,6.8,Month-to-month,Bank transfer,DSL,No,0,0,1,0
CUST-00121,32,83.64,2513.61,3,6.4,1,9.2,One year,Credit card,Fiber optic,No,0,0,0,0
CUST-00122,49,90.31,4491.75,1,-12.7,2,10.0,One year,Credit card,DSL,Yes,0,1,0,0
CUST-00123,48,27.33,1628.33,2,10.8,0,8.2,Two year,Credit card,DSL,No,0,0,0,0
CUST-00124,34,91.14,3237.36,2,-20.2,1,6.1,One year,Mailed check,Fiber optic,No,0,1,0,0
CUST-00125,62,141.64,8131.8,1,-2.8,0,9.3,Month-to-month,Electronic check,Fiber optic,No,0,1,0,0
CUST-00126,41,95.92,4093.05,0,15.8,3,6.0,Month-to-month,Credit card,DSL,Yes,0,1,0,0
CUST-00127,6,119.26,576.02,5,27.0,0,2.4,Month-to-month,Credit card,DSL,Yes,0,0,0,1
CUST-00128,56,83.12,4767.99,1,45.6,0,4.9,Month-to-month,Electronic check,DSL,Yes,0,1,0,0
CUST-00129,42,75.95,3186.37,3,1.1,0,2.8,One year,Credit card,DSL,No,0,1,1,0
CUST-00130,46,88.68,4031.11,0,-5.8,0,6.4,Month-to-month,Credit card,DSL,No,0,0,0,0
CUST-00131,41,55.16,2236.0,4,16.4,0,6.8,Month-to-month,Bank transfer,Fiber optic,Yes,1,0,0,0
CUST-00132,40,51.01,2034.79,2,37.9,1,4.2,Month-to-month,Electronic check,Fiber optic,No,0,0,0,0
CUST-00133,7,113.46,1130.32,0,32.5,0,5.6,Two year,Electronic check,DSL,No,0,0,1,1
CUST-00134,41,116.43,4768.71,1,-8.6,1,4.5,Month-to-month,Electronic check,Fiber optic,No,0,0,1,0
CUST-00135,58,50.25,3185.88,1,5.8,1,6.9,Month-to-month,Bank transfer,DSL,Yes,0,0,1,0
CUST-00136,22,105.1,2547.18,1,21.6,0,5.6,Month-to-month,Credit card,DSL,No,1,0,0,1
CUST-00137,44,75.57,3491.84,4,22.7,1,8.9,Month-to-month,Bank transfer,DSL,Yes,1,0,0,0
CUST-00138,3,87.51,20.0,1,17.5,0,7.4,One year,Bank transfer,Fiber optic,No,1,1,1,0
CUST-00139,26,90.89,2642.3,1,0.8,0,10.0,Two year,Bank transfer,DSL,Yes,0,0,0,0
CUST-00140,32,105.84,3272.4,0,17.3,1,6.3,Month-to-month,Credit card,DSL,Yes,0,0,0,0
CUST-00141,71,80.32,5881.65,0,22.9,0,10.0,Two year,Mailed check,Fiber optic,Yes,0,1,1,0
CUST-00142,16,117.48,1636.55,0,-6.9,0,7.1,One year,Credit card,DSL,No,0,0,0,0
CUST-00143,20,86.66,1436.93,4,29.3,1,6.1,Month-to-month,Credit card,Fiber optic,Yes,0,0,0,0
CUST-00144,30,95.48,3358.5,1,23.9,3,10.0,Month-to-month,Electronic check,DSL,No,0,0,1,0
CUST-00145,72,54.67,3696.99,3,-3.9,0,3.8,Month-to-month,Mailed check,Fiber optic,No,1,0,0,0
CUST-00146,62,138.44,8869.81,3,22.8,4,6.1,Month-to-month,Mailed check,DSL,No,0,0,0,1
CUST-00147,3,91.16,303.09,3,21.0,0,4.1,Month-to-month,Mailed check,DSL,Yes,0,0,1,1
CUST-00148,17,97.96,1560.29,0,21.6,1,3.8,Two year,Credit card,Fiber optic,Yes,0,1,0,0
CUST-00149,60,32.97,1966.99,1,33.2,0,3.4,Month-to-month,Electronic check,None,No,1,0,0,0
CUST-00150,5,54.96,20.0,1,7.8,0,8.2,Two year,Bank transfer,None,Yes,0,1,0,0
CUST-00151,62,112.66,6981.48,2,13.3,0,4.7,Month-to-month,Electronic check,Fiber optic,No,0,0,0,0
CUST-00152,21,86.03,1535.94,1,-34.2,0,6.6,Month-to-month,Bank transfer,Fiber optic,No,1,0,1,0
CUST-00153,67,24.41,1536.61,1,25.9,0,8.7,One year,Bank transfer,DSL,Yes,0,1,0,0
CUST-00154,22,107.07,2586.86,1,24.3,1,7.9,Two year,Mailed check,Fiber optic,Yes,0,1,1,0
CUST-00155,32,62.77,2072.19,1,29.7,1,7.8,Two year,Bank transfer,Fiber optic,No,0,0,1,0
CUST-00156,48,117.52,5270.42,3,-7.0,0,9.3,Month-to-month,Bank transfer,Fiber optic,No,0,0,1,0
CUST-00157,10,75.54,968.27,3,23.4,0,10.0,Month-to-month,Credit card,Fiber optic,No,1,0,0,0
CUST-00158,41,83.73,3431.16,1,24.3,1,4.8,Month-to-month,Electronic check,DSL,Yes,0,1,0,0
CUST-00159,37,111.01,3971.82,0,-2.4,1,8.0,Month-to-month,Electronic check,Fiber optic,No,0,1,1,0
CUST-00160,57,52.87,3200.26,2,24.9,0,6.6,Month-to-month,Credit card,Fiber optic,No,0,0,0,0
CUST-00161,72,50.2,3572.6,2,15.4,1,6.8,One year,Electronic check,None,No,1,1,0,0
CUST-00162,48,72.5,3188.58,1,-19.2,1,4.4,Month-to-month,Electronic check,Fiber optic,No,0,0,1,0
CUST-00163,30,101.16,3496.75,2,17.4,1,6.1,Two year,Bank transfer,Fiber optic,No,0,0,0,0
CUST-00164,30,40.74,1217.88,2,-4.3,1,6.3,One year,Electronic check,DSL,Yes,0,1,1,0
CUST-00165,31,31.3,949.95,0,-18.8,1,9.7,Month-to-month,Electronic check,DSL,Yes,0,0,0,0
CUST-00166,59,101.06,5861.26,2,13.9,0,5.0,Month-to-month,Bank transfer,None,No,0,0,0,0
CUST-00167,24,61.12,1761.87,3,7.0,0,2.8,One year,Mailed check,Fiber optic,No,0,0,0,1
CUST-00168,13,67.02,740.04,1,30.5,1,7.1,Month-to-month,Electronic check,DSL,No,0,1,1,1
CUST-00169,25,26.01,264.01,1,10.9,1,4.8,Month-to-month,Bank transfer,DSL,No,0,1,0,0
CUST-00170,2,58.99,20.0,0,20.5,0,6.8,Month-to-month,Bank transfer,DSL,No,0,0,1,0
CUST-00171,8,77.79,954.01,0,16.1,1,8.3,Month-to-month,Credit card,Fiber optic,No,0,0,1,1
CUST-00172,7,104.05,936.38,3,24.3,1,6.9,One year,Bank transfer,Fiber optic,No,0,0,0,0
CUST-00173,56,56.41,3095.21,1,-6.2,1,6.3,Month-to-month,Credit card,DSL,No,0,0,0,0
CUST-00174,53,124.41,6937.04,3,11.2,0,6.8,Month-to-month,Mailed check,DSL,No,0,0,0,0
CUST-00175,51,58.83,3187.32,2,5.7,1,8.6,One year,Electronic check,Fiber optic,No,0,0,1,0
CUST-00176,34,58.87,1934.93,1,18.5,0,5.0,One year,Credit card,DSL,No,0,0,1,0
CUST-00177,52,121.05,6253.12,2,12.1,0,8.4,Month-to-month,Electronic check,Fiber optic,No,0,1,0,0
CUST-00178,12,83.92,1089.37,4,-1.8,0,5.3,Month-to-month,Credit card,DSL,Yes,0,0,1,0
CUST-00179,65,62.54,3857.13,2,2.6,2,8.2,Month-to-month,Credit card,Fiber optic,No,0,1,1,0
CUST-00180,37,73.66,2726.55,2,34.4,0,4.3,Month-to-month,Bank transfer,Fiber optic,Yes,0,0,0,1
CUST-00181,68,115.89,7957.65,3,-19.1,1,8.1,Month-to-month,Bank transfer,DSL,Yes,0,0,0,0
CUST-00182,11,119.05,887.81,1,19.3,0,6.9,One year,Bank transfer,Fiber optic,No,1,0,0,1
CUST-00183,36,55.13,1937.35,2,27.9,1,7.3,Month-to-month,Electronic check,Fiber optic,No,0,1,0,0
CUST-00184,51,76.81,3841.55,1,17.3,0,8.8,Two year,Bank transfer,Fiber optic,No,0,0,0,0
CUST-00185,36,80.52,3155.74,3,39.5,2,5.6,Month-to-month,Credit card,DSL,No,0,0,1,0
CUST-00186,33,50.39,1201.75,2,23.0,0,7.1,Month-to-month,Bank transfer,None,No,0,1,0,0
CUST-00187,12,76.44,821.9,0,14.1,0,7.6,Two year,Bank transfer,DSL,Yes,1,1,1,0
CUST-00188,28,78.15,2067.76,1,0.5,3,6.6,Two year,Bank transfer,DSL,No,0,1,1,0
CUST-00189,18,109.93,2218.76,0,14.4,1,8.4,Month-to-month,Credit card,DSL,No,0,0,0,0
CUST-00190,22,111.81,2448.93,0,18.9,1,7.7,Month-to-month,Bank transfer,DSL,Yes,0,0,1,0
CUST-00191,50,68.78,3888.02,2,8.1,0,6.1,One year,Credit card,Fiber optic,Yes,0,0,1,0
CUST-00192,46,72.01,3478.01,3,-3.9,0,9.4,One year,Mailed check,Fiber optic,Yes,1,0,0,0
CUST-00193,44,96.6,4147.84,1,-11.3,2,8.1,Month-to-month,Electronic check,DSL,Yes,0,0,0,0
CUST-00194,27,61.61,1723.38,1,11.0,0,5.6,Month-to-month,Electronic check,None,No,0,1,0,0
CUST-00195,70,94.48,6525.08,1,-15.7,1,5.6,Month-to-month,Mailed check,None,Yes,0,1,1,0
CUST-00196,7,75.54,743.63,1,0.5,0,6.7,One year,Credit card,Fiber optic,No,0,0,1,0
CUST-00197,25,50.86,938.45,2,-30.9,0,7.9,Month-to-month,Bank transfer,None,No,0,0,0,0
CUST-00198,9,51.21,254.97,2,21.3,0,3.1,Month-to-month,Electronic check,Fiber optic,No,0,0,0,0
CUST-00199,25,118.52,3076.92,1,26.5,0,5.7,Two year,Bank transfer,DSL,No,0,0,0,1
CUST-00200,70,73.62,5459.84,1,9.3,2,6.1,Two year,Credit card,DSL,No,0,0,1,0
CUST-00201,27,123.93,2795.62,2,37.3,0,4.5,One year,Bank transfer,Fiber optic,No,1,1,0,1
CUST-00202,66,63.62,4542.54,2,29.6,1,5.3,Month-to-month,Credit card,DSL,Yes,0,1,0,0
CUST-00203,36,86.15,3066.37,2,15.7,1,7.3,Month-to-month,Electronic check,Fiber optic,No,0,0,1,0
CUST-00204,51,144.99,6923.52,3,6.2,1,6.2,One year,Bank transfer,None,No,0,1,0,1
CUST-00205,33,48.39,846.44,2,2.4,2,6.4,One year,Electronic check,Fiber optic,No,0,1,0,0
CUST-00206,20,24.86,114.85,3,17.0,1,4.6,Month-to-month,Bank transfer,DSL,No,0,1,0,0
CUST-00207,56,114.02,6380.19,6,5.7,0,6.7,Month-to-month,Mailed check,Fiber optic,Yes,0,0,0,1
CUST-00208,70,54.85,3823.03,1,16.8,1,4.4,Two year,Electronic check,Fiber optic,No,0,0,1,0
CUST-00209,19,77.42,1629.28,1,18.0,0,9.7,Month-to-month,Credit card,Fiber optic,Yes,0,0,1,0
CUST-00210,57,61.59,3373.26,1,4.3,0,10.0,Two year,Electronic check,Fiber optic,No,0,0,0,0
CUST-00211,19,85.51,1347.68,6,25.5,0,6.2,Month-to-month,Bank transfer,Fiber optic,No,0,0,0,1
CUST-00212,52,51.38,2568.49,1,4.3,0,5.1,One year,Electronic check,Fiber optic,Yes,0,0,1,0
CUST-00213,57,72.96,4167.12,0,8.3,0,8.6,Month-to-month,Bank transfer,None,No,0,1,0,1
CUST-00214,33,90.59,3047.16,2,-7.6,0,8.2,Month-to-month,Mailed check,Fiber optic,No,0,0,1,0
CUST-00215,54,49.77,2490.29,0,3.7,1,10.0,Two year,Electronic check,DSL,Yes,0,0,1,0
CUST-00216,20,58.4,1393.36,1,42.5,2,10.0,One year,Electronic check,DSL,No,0,0,1,0
CUST-00217,6,68.27,254.27,1,-6.4,0,3.5,Month-to-month,Electronic check,DSL,Yes,0,0,1,0
CUST-00218,7,37.99,48.5,2,15.0,0,9.2,Month-to-month,Bank transfer,Fiber optic,Yes,0,0,1,0
CUST-00219,33,66.17,2048.01,1,0.7,0,6.7,Month-to-month,Electronic check,Fiber optic,Yes,1,0,1,0
CUST-00220,65,81.33,5555.16,5,-27.4,1,8.1,One year,Mailed check,Fiber optic,No,0,0,1,0
CUST-00221,10,66.81,634.9,0,16.9,2,8.5,Month-to-month,Credit card,Fiber optic,Yes,0,0,0,0
CUST-00222,33,70.4,2149.57,1,-0.9,0,8.4,Month-to-month,Credit card,DSL,No,0,0,0,0
CUST-00223,51,77.44,4180.97,2,13.1,2,8.9,Month-to-month,Electronic check,DSL,No,0,1,1,0
CUST-00224,15,59.64,1430.29,2,23.8,1,6.1,One year,Bank transfer,DSL,No,0,0,0,0
CUST-00225,52,97.35,5114.62,2,11.8,1,5.4,Month-to-month,Credit card,DSL,No,0,1,1,0
CUST-00226,23,118.21,3027.29,0,13.3,0,9.2,Two year,Bank transfer,DSL,No,0,0,1,0
CUST-00227,59,65.0,4094.02,0,-5.9,0,5.5,One year,Credit card,Fiber optic,Yes,0,0,0,0
CUST-00228,42,91.59,3695.37,0,19.3,1,10.0,Two year,Credit card,DSL,No,0,0,0,0
CUST-00229,40,71.29,2858.26,0,5.0,1,5.7,Month-to-month,Mailed check,Fiber optic,No,0,1,0,0
CUST-00230,13,88.23,826.35,0,-24.0,2,6.4,Month-to-month,Bank transfer,None,Yes,0,1,0,0
CUST-00231,34,121.84,4091.32,6,21.2,0,6.8,Two year,Credit card,DSL,Yes,0,0,1,0
CUST-00232,62,92.24,5562.33,4,26.1,0,4.3,Month-to-month,Electronic check,DSL,Yes,0,0,0,0
CUST-00233,2,28.34,20.0,0,31.7,1,4.3,Two year,Bank transfer,DSL,Yes,0,0,0,0
CUST-00234,55,90.71,4801.58,1,42.7,0,8.7,Month-to-month,Credit card,DSL,No,0,1,0,0
CUST-00235,36,112.52,3978.95,1,20.4,0,4.0,Two year,Bank transfer,DSL,No,0,0,0,1
CUST-00236,52,71.8,3866.66,2,16.2,4,10.0,One year,Electronic check,None,No,1,1,0,0
CUST-00237,48,105.88,5052.37,1,25.5,1,6.9,One year,Bank transfer,Fiber optic,Yes,0,0,0,0
CUST-00238,32,58.68,1411.67,2,-6.2,3,5.2,One year,Electronic check,DSL,No,0,0,0,0
CUST-00239,23,36.4,650.67,0,-18.8,1,7.9,Month-to-month,Bank transfer,Fiber optic,Yes,0,0,1,0
CUST-00240,46,81.95,3389.85,1,0.4,0,2.7,Month-to-month,Electronic check,Fiber optic,No,0,0,1,0
